"Submission ID","Respondent ID","Submitted at","¿Cuál describe mejor tu relación actual con la Inteligencia Artificial en tu día a día fiscal?","Si pudieras hacer desaparecer un solo problema de tu despacho hoy mismo con un botón, ¿cuál sería?","¿Cuál es tu mayor duda o freno al momento de pensar en implementar Inteligencia Artificial con los datos de tus clientes?","Si diseñáramos un taller práctico de 2 horas para ti, ¿sobre qué te urge que sea?"
"2joE7pb","LZBW2q1","2026-08-26 14:16:30","Nivel Avanzado: Ya estoy integrando herramientas automatizadas o creando mis propias soluciones sin código (calculadoras, apps sencillas).","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Agentes IA"
"Qo4KEW1","NpvWjGb","2026-08-26 14:21:26","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Abatir el tiempo en la realización de tareas que se repiten. 
"
"q5z4Xa7","dWXxB1o","2026-08-26 14:38:43","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","conciliación más practica de los CFDI "
"LDOZBRJ","BzqkPXQ","2026-08-26 14:41:23","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Aplicación práctica de todo tipo de cálculos fiscales, una Ia qué me ayude a organizar todos los temas fiscales, pendientes y fechas de entrega"
"bZz5RPo","b5XxBA2","2026-08-26 14:47:41","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Tareas operativas, ejemplo: conciliar xml sat vs. emitidos en sistema, conciliar xml de pagos vs. facturas y depósitos,etc"
"dbzWBXd","lbXyqxX","2026-08-26 15:12:39","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","como implementar la IA"
"jezaOGx","Npv6lJN","2026-08-26 15:14:56","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","saber como uilizar la inteligencia artificial"
"Z9e9o8z","jaXyQQR","2026-08-26 15:33:47","Nivel Avanzado: Ya estoy integrando herramientas automatizadas o creando mis propias soluciones sin código (calculadoras, apps sencillas).","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","Me gustaría una calculadora de impuestos, que incluya conciliación bancaria y me ahorrara muchísimo tiempo "
"5XVXj8b","1Azll4l","2026-08-26 15:38:25","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El miedo constante a que el SAT cambie las reglas o el software de un día para otro y no me dé la vida para actualizarme.","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","Usar prompts"
"PRrR1NV","lbXyyL5","2026-08-26 15:39:24","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Las bases del uso de la inteligencia artificial"
"RWjW4JQ","ZjXNlXo","2026-08-26 16:01:36","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","Pago a socios y accionistas y estimulos fiscales al sector Pesca"
"VpNpVQj","zx4qJ9R","2026-08-26 16:07:17","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","sobre como realizar revisiones de facturas de gastos y contestaciones al sat "
"e5z5Llx","Y5XQMQv","2026-08-26 16:09:03","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Como realizar calculadoras fiscales"
"4aOavLY","9qPWEg4","2026-08-26 16:11:18","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Aprender hacer prompts de buen nivel "
"7XEXVv2","PdL6BXx","2026-08-26 16:14:49","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El temor de que la IA o un contador más joven y tecnológico me termine bajando a mis clientes actuales.","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Manejo de IA"
"bZzZ2pg","5BozEbQ","2026-08-26 16:23:35","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El temor de que la IA o un contador más joven y tecnológico me termine bajando a mis clientes actuales.","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","IA"
"kbzbOLe","ODKz8xg","2026-08-26 16:27:19","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","Como me podría apoyar para crear formatos necesarios para el control interno, 
Recursos Humanos, Vacaciones, Horarios de empleados, Control de cumplimiento de tareas asignadas, Caja Chica, Pedido de mercancía, etc."
"VpNpDa6","q4XdkKk","2026-08-26 16:40:59","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Aprender a preguntar a la IA"
"aOzOlKZ","Y5XQk9z","2026-08-26 16:47:07","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El temor de que la IA o un contador más joven y tecnológico me termine bajando a mis clientes actuales.","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","Analizar información"
"PRrReMx","lbXyg5v","2026-08-26 17:03:19","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","De forma general en cuestiones administrativas para saber delegar responsabilidades y tecnicas propias en que hacer como contabilidad y sus ramas de costos, finanzas, impuestos etc."
"lazajKk","kdXyx7R","2026-08-26 17:11:27","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","sobre seguros social la determinación correcta de las cuotas obrero patronales debidamente fundamentados"
"5XVXJkM","rjR6QGM","2026-08-26 17:32:15","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El miedo constante a que el SAT cambie las reglas o el software de un día para otro y no me dé la vida para actualizarme.","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","El cálculo detallado de la declaración mensual y anual, y el ajuste del ISR."
"Eq6KzeA","5Boz7XM","2026-08-26 17:55:27","Nivel Avanzado: Ya estoy integrando herramientas automatizadas o creando mis propias soluciones sin código (calculadoras, apps sencillas).","El miedo constante a que el SAT cambie las reglas o el software de un día para otro y no me dé la vida para actualizarme.","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Revisión de registros contables correctos en base a los datos de los CFDI's."
"RWjxz8P","dWXYqZz","2026-08-26 18:36:41","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Creo que diseñar un sistema que agilice el registro de las compras y gastos...los ingresos son más fáciles. El registrar tus compras y gastos clasificando a una cuenta contable en específico sería algo que ayudaría mucho. Ya utilizo un sistema con IA pero deja muchas dudas e incertidumbre, pues clasifica con la fecha de emisión , el ejemplo mas claro es que una factura global la contabiliza con fecha de emision y no con la fecha de operación, además resta de los ingresos los descuentos que hacen los proveedores en compras y gastos. En resumen, no hay certeza de lo que ves en los reportes, me da la impresión que los ingenieros que diseñaron no tienen idea de las necesidades contables, legales y fiscales del registro de un ingreso, de un gasto o una inversión.
"
"pezrvpb","RG1z5DQ","2026-08-26 19:27:32","Nivel Avanzado: Ya estoy integrando herramientas automatizadas o creando mis propias soluciones sin código (calculadoras, apps sencillas).","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","de IA"
"PRrpQ1x","9qPdvk4","2026-08-26 20:03:47","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","como pedir a la inteligencia artificial que me ayude con algunos trabajos y que me fundamentos legales para hacerlo de esa manera, asi ire teniendo confianza en las respuestas que me está dando "
"o9zDAL5","J9b2b4z","2026-08-26 21:52:44","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de habilidad: Creo que necesito saber programar o ser un genio de la tecnología para sacarle provecho real.","IA  aplicada en cfdi en su archivo xml o pdf  y como enviar esa informaciòn a excel"
"Yj9059J","81VkQ6r","2026-08-27 01:05:40","Nivel Intermedio: Ya uso prompts con cierta estructura para redactar correos o resumir textos, pero no sé cómo meterle datos fiscales de clientes de forma segura.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","En realidad nada me urge, pero me gustaría saber pedir reportes profesionales claros y cortos.
"
"Ar927Vl","xXEQa7y","2026-08-27 01:07:56","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","La presión de cobrar barato porque los clientes creen que ""hacer impuestos"" es solo presionar un botón.","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","
como iniciar un proceso de aprendizaje de la ia."
"PRr1z4x","68GkxOo","2026-08-27 01:42:14","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Cómo usar la IA para aspectos contables y fiscales"
"gbzdLaO","2EzkxdV","2026-08-27 02:20:48","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","manejo y control del cfdi"
"6DPKEDO","yPrD0p0","2026-08-27 08:09:05","Nivel Cero: No la uso. Me da desconfianza o siento que no tengo tiempo de aprenderla.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Falta de precisión: No confío en que una máquina entienda de verdad el criterio fiscal mexicano (me da miedo que alucine y me meta en una bronca legal).","Conciliar el IVA acreditable pagado con lo que trae la página del SAT y con lo que realmente declaro"
"2jo4W0M","ODKJRek","2026-08-27 22:37:10","Nivel Aficionado: He probado ChatGPT de vez en cuando, pero me da respuestas muy genéricas de ""blog"" que no me sirven para casos reales.","El tiempo excesivo que pierdo en tareas operativas y repetitivas (captura, conciliación, descargas).","Confidencialidad: Me aterra subir información fiscal delicada a internet y violar el secreto profesional.","un  poco  de programacion"
