num,fecha,tipo,estado,serie,titulo,subtitulo,herramienta,invitado,live_url,live_vistas,corte_url,corte_vistas,deck,cta,notas
01,2026-07-23,jueves,emitido,,La IA no es lo que crees,Estreno de Jueves de ContadorIA: qué hace realmente un modelo de IA y por qué eso lo cambia todo,,,,,https://youtu.be/JaGnRRGmXWk,13,todoconta-apps/apps/presenter/src/content/decks/2026-07-20-ia-predice-no-piensa.mdx,,El deck tiene pubDate 2026-07-20 (lunes); el jueves de esa semana es el 23. No aparece el live en el canal; el corte del 27-jul 'La IA te complace aunque estés mal' parece salir de aquí. Verificar.
02,2026-07-30,jueves,emitido,,Cómo preguntarle a ChatGPT para que te dé respuestas útiles,"El método RCIF para que la IA te responda como socio, no como practicante",ChatGPT,,https://youtu.be/YyEpuYDNe3M,94,https://youtu.be/QuH_dqAU8g8,42,todoconta-apps/apps/presenter/src/content/decks/2026-07-30-rcif-preguntarle-a-la-ia.mdx,,En YouTube el live se titula 'Cómo preguntarle a Claude…'; el deck dice ChatGPT.
03,2026-08-06,jueves,emitido,,¿Le puedes confiar tus datos fiscales a la Inteligencia Artificial?,"La quinta pieza de RCIF, alucinaciones, candado a las fuentes y a dónde van tus datos",,,https://youtu.be/g0rotlzxYD4,38,https://youtu.be/_gj4ft_Wz_Q,120,todoconta-apps/apps/presenter/src/content/decks/2026-08-06-confiar-datos-fiscales-a-la-ia.mdx,,"Clips sueltos: 'Ponle CANDADO a la IA' (SPG03GFTgFw), 'El System Prompt' (YpaXBhBGTrg), 'live3 clip2 checklist' (ucK8i5K_7Y4)."
04,2026-08-13,jueves,emitido,,Cómo crear una calculadora fiscal con IA sin saber programar,"De qué está hecha una app, qué sí resuelve Artifacts y dónde empieza lo que veremos el 22 de agosto",Claude (Artifacts),,https://youtu.be/IuOWT3Z3wrs,133,https://youtu.be/BZOY_MEamAo,64,todoconta-apps/apps/presenter/src/content/decks/2026-08-13-calculadora-fiscal-sin-programar.mdx,Taller webapp 22-ago,"Corte 2: demo completa sin cortes (KSD4MLGXMKQ, 99 vistas)."
,2026-08-15,sesion-externa,emitido,,"Vibe Coding: si puedes explicarlo, puedes construirlo","Sesión previa al taller del 22, comunidad de Fiscalistas.AI, sábado por Zoom",Claude Code,José de Jesús Pérez Lara,,,https://youtu.be/uKcu5JJBoPI,89,todoconta-apps/apps/presenter/src/content/decks/2026-08-15-vibe-coding-si-puedes-explicarlo.mdx,Taller webapp 22-ago,
05,2026-08-20,jueves,emitido,,¿La Inteligencia Artificial va a reemplazar a los contadores? La respuesta que nadie te da,"La respuesta honesta, en conversación con José de Jesús Pérez Lara",,José de Jesús Pérez Lara,https://youtu.be/_0FdrL1240c,202,https://youtu.be/TptjAHGxP5s,93,todoconta-apps/apps/presenter/src/content/decks/2026-08-20-contador-que-usa-ia-vs-el-que-no.mdx,Taller webapp 22-ago,Live publicado como 'Cómo ser un Contador imposible de reemplazar con IA'; corte 'Vuélvete infraestructura con IA'.
,2026-08-22,taller,emitido,,Taller: crea tu propia web app sin escribir una línea de código,"5 horas en vivo por Zoom, con Fiscalistas.AI",Claude Code,José de Jesús Pérez Lara,,,,,todoconta-apps/apps/presenter/src/content/decks/2026-08-22-taller-crea-tu-web-app.mdx,,De paga; no hay video público.
06,2026-08-27,jueves,emitido,IA y gobierno,El SAT ya tiene una IA que caza facturas falsas,"El Plan Nacional de IA, el Modelo de Grafos contra Factureras y qué te toca hacer a ti",,,https://youtu.be/t5mbL-L-gR4,121,https://youtu.be/EKnTwvOAPYY,668,todoconta-apps/apps/presenter/src/content/decks/2026-08-27-sat-ia-caza-facturas-falsas.mdx,,"El corte es el video más visto del canal. Shorts derivados: Coatlicue (zaAaFYm7Zu8, 134), 'Por qué el SAT quitó la palabra IA' (8CEFgw1auvE, 79)."
07,2026-09-03,jueves,emitido,IA y gobierno,Así piensa la IA que te va a auditar: teoría de grafos para contadores,"Nodos, aristas y grados de separación, sin código. Y cómo armar tu propia versión del mapa",Claude,,https://youtu.be/dpW26oqH6o4,137,https://youtu.be/tILBxS0bpq4,240,todoconta-apps/apps/presenter/src/content/decks/2026-09-03-asi-piensa-la-ia-que-te-va-a-auditar.mdx,,Prompts públicos en el repo jueves-de-contadoria/live-07-asi-piensa-la-ia.
08,2026-09-10,jueves,emitido,IA y gobierno,Las 10 reglas que el gobierno le puso a su IA (y las 5 que te tocan a ti),"El decálogo de Chapultepec completo, las cinco reglas que sí aplican a un despacho y qué hace cada herramienta con los datos de tus clientes",,,https://youtu.be/5lHIUlfxWqo,163,,,todoconta-apps/apps/presenter/src/content/decks/2026-09-10-reglas-ia-para-tu-despacho.mdx,,Sin corte editado. Short: '5 cosas que tu despacho debería hacer esta semana' (_Wm43l-5OHA).
